id,item_name,category,color,size,gender,season,price,material
1,Floral Sneakers,Sneakers,Red,XL,Male,Autumn,PKR 4663,Wool
2,Urban Handbag,Handbag,Blue,,Female,Winter,PKR 5224,Denim
3,Zip Heels,Heels,Yellow,,Male,Winter,PKR 7634,Denim
4,Casual Boots,Boots,Green,M,Unisex,Spring,PKR 4150,Nylon
5,Relaxed Heels,Heels,Red,,Unisex,Summer,PKR 5057,Nylon
6,Casual Shorts,Shorts,Red,L,Male,Spring,PKR 4611,Polyester
7,Casual Boots,Boots,White,L,Female,Spring,PKR 4692,Silk
8,Graphic Heels,Heels,Pink,,Unisex,Autumn,PKR 4169,Denim
9,Relaxed Crop Top,Crop Top,Yellow,XL,Male,Winter,PKR 4839,Cotton
10,Floral Skirt,Skirt,Grey,S,Male,Winter,PKR 5431,Polyester
11,Graphic Jacket,Jacket,Green,XS,Female,Summer,PKR 4107,Denim
12,Relaxed Jeans,Jeans,Yellow,L,Male,Autumn,PKR 1301,Silk
13,Casual Crop Top,Crop Top,Yellow,XS,Female,Autumn,PKR 6152,Wool
14,Urban Heels,Heels,Brown,,Unisex,Autumn,PKR 5604,Linen
15,Mini Shorts,Shorts,Brown,L,Male,Spring,PKR 7062,Cotton
16,Graphic Crop Top,Crop Top,Yellow,M,Male,Summer,PKR 7562,Linen
17,Floral Jacket,Jacket,Black,XS,Male,Autumn,PKR 7737,Denim
18,Classic Handbag,Handbag,Green,,Male,Summer,PKR 4084,Nylon
19,Zip Hoodie,Hoodie,Black,XS,Unisex,Autumn,PKR 8017,Denim
20,Mini Sneakers,Sneakers,Yellow,XL,Female,Spring,PKR 1803,Cotton
21,Graphic Sneakers,Sneakers,Green,XS,Unisex,Spring,PKR 1695,Nylon
22,Graphic Crop Top,Crop Top,Red,S,Female,Summer,PKR 3588,Wool
23,Classic Sneakers,Sneakers,Grey,XS,Female,Winter,PKR 2084,Nylon
24,Relaxed Jacket,Jacket,Black,XS,Unisex,Autumn,PKR 3540,Silk
25,Elegant Hoodie,Hoodie,Brown,L,Unisex,Summer,PKR 7950,Polyester
26,Sporty Jacket,Jacket,Pink,XL,Unisex,Autumn,PKR 7954,Linen
27,Casual Crop Top,Crop Top,Red,M,Male,Winter,PKR 5617,Wool
28,Classic Shorts,Shorts,Black,XL,Unisex,Spring,PKR 8058,Linen
29,Graphic Boots,Boots,Red,S,Unisex,Summer,PKR 6216,Polyester
30,Relaxed Hoodie,Hoodie,Brown,L,Female,Winter,PKR 8572,Silk
31,Relaxed Heels,Heels,Pink,,Unisex,Autumn,PKR 6521,Cotton
32,Sporty Shorts,Shorts,Black,S,Female,Spring,PKR 4260,Polyester
33,Zip Shorts,Shorts,Green,S,Female,Winter,PKR 4427,Wool
34,Zip Heels,Heels,Green,,Unisex,Autumn,PKR 5021,Wool
35,Casual Heels,Heels,Beige,,Unisex,Summer,PKR 4725,Leather
36,Mini Jacket,Jacket,Brown,L,Unisex,Autumn,PKR 7421,Cotton
37,Classic Hoodie,Hoodie,Pink,M,Female,Autumn,PKR 8316,Wool
38,Mini Hoodie,Hoodie,Beige,XL,Unisex,Summer,PKR 4615,Wool
39,Mini Boots,Boots,Beige,XL,Unisex,Autumn,PKR 3705,Silk
40,Sporty Jacket,Jacket,Yellow,L,Unisex,Autumn,PKR 8454,Polyester
41,Relaxed Shorts,Shorts,Grey,M,Male,Winter,PKR 3657,Linen
42,Floral Crop Top,Crop Top,Beige,XS,Unisex,Spring,PKR 4206,Cotton
43,Classic Crop Top,Crop Top,Beige,S,Unisex,Summer,PKR 7407,Linen
44,Classic Shorts,Shorts,Pink,XL,Female,Spring,PKR 5328,Cotton
45,Graphic Crop Top,Crop Top,Red,XL,Female,Autumn,PKR 8963,Silk
46,Mini Handbag,Handbag,Blue,,Female,Summer,PKR 1909,Linen
47,Relaxed Boots,Boots,Green,XL,Female,Winter,PKR 5899,Polyester
48,Zip Shorts,Shorts,Pink,M,Male,Summer,PKR 7852,Leather
49,Zip Jeans,Jeans,Beige,M,Male,Spring,PKR 6522,Silk
50,Floral Skirt,Skirt,White,L,Male,Spring,PKR 2315,Leather
51,Floral Boots,Boots,Blue,L,Unisex,Spring,PKR 1759,Leather
52,Classic Boots,Boots,Grey,XS,Male,Winter,PKR 6607,Nylon
53,Floral Jacket,Jacket,Beige,S,Unisex,Spring,PKR 2064,Wool
54,Casual Skirt,Skirt,Red,M,Female,Spring,PKR 8311,Denim
55,Graphic Shorts,Shorts,Green,XS,Female,Summer,PKR 8798,Silk
56,Urban Hoodie,Hoodie,Green,XS,Unisex,Autumn,PKR 8627,Nylon
57,Casual Jeans,Jeans,Pink,S,Male,Spring,PKR 2860,Wool
58,Casual Jeans,Jeans,Black,M,Unisex,Spring,PKR 6161,Leather
59,Relaxed Shorts,Shorts,Green,S,Unisex,Autumn,PKR 2825,Wool
60,Relaxed Jacket,Jacket,White,L,Female,Autumn,PKR 5878,Wool
61,Floral Sneakers,Sneakers,Beige,XS,Male,Spring,PKR 4367,Wool
62,Zip Heels,Heels,Red,,Female,Spring,PKR 4645,Denim
63,Relaxed Hoodie,Hoodie,White,XS,Female,Summer,PKR 2976,Nylon
64,Mini Jacket,Jacket,Yellow,M,Female,Autumn,PKR 4275,Cotton
65,Zip Heels,Heels,Blue,,Unisex,Autumn,PKR 6986,Denim
